,Year,tavg,Entity,Code,Annual COâ‚‚ emissions
0,1950,47.541666666666664,World,OWID_WRL,5929342000.0
1,1951,48.35833333333333,World,OWID_WRL,6381405700.0
2,1952,49.18216145833333,World,OWID_WRL,6467437000.0
3,1953,50.51666666666667,World,OWID_WRL,6650861600.0
4,1954,49.53333333333333,World,OWID_WRL,6789497300.0
5,1955,49.708333333333336,World,OWID_WRL,7443861000.0
6,1956,48.50833333333333,World,OWID_WRL,7925980700.0
7,1957,49.125,World,OWID_WRL,8185614000.0
8,1958,47.06666666666666,World,OWID_WRL,8417160000.0
9,1959,49.38333333333333,World,OWID_WRL,8854662000.0
10,1960,48.547948717948714,World,OWID_WRL,9386421000.0
11,1961,48.541666666666664,World,OWID_WRL,9414383000.0
12,1962,47.49166666666667,World,OWID_WRL,9746556000.0
13,1963,46.574999999999996,World,OWID_WRL,10266046000.0
14,1964,49.1,World,OWID_WRL,10823619000.0
15,1965,,World,OWID_WRL,11309690000.0
16,1966,,World,OWID_WRL,11861708000.0
17,1967,,World,OWID_WRL,12236328000.0
18,1968,,World,OWID_WRL,12904336000.0
19,1969,,World,OWID_WRL,13760840000.0
20,1970,,World,OWID_WRL,14898157000.0
21,1971,,World,OWID_WRL,15502787000.0
22,1972,,World,OWID_WRL,16223440000.0
23,1973,52.452727272727266,World,OWID_WRL,17083500000.0
24,1974,49.898828125,World,OWID_WRL,17009382000.0
25,1975,50.39410256410256,World,OWID_WRL,17049979000.0
26,1976,48.6610606060606,World,OWID_WRL,17985243000.0
27,1977,48.94439393939394,World,OWID_WRL,18494652000.0
28,1978,49.26939393939394,World,OWID_WRL,19063955000.0
29,1979,49.31939393939394,World,OWID_WRL,19603001000.0
30,1980,48.494393939393944,World,OWID_WRL,19482442000.0
31,1981,49.152727272727276,World,OWID_WRL,19016950000.0
32,1982,50.711060606060606,World,OWID_WRL,18865373000.0
33,1983,51.169393939393935,World,OWID_WRL,18985900000.0
34,1984,49.427727272727275,World,OWID_WRL,19641730000.0
35,1985,49.25272727272727,World,OWID_WRL,20305132000.0
36,1986,50.99166666666667,World,OWID_WRL,20607515000.0
37,1987,51.48333333333333,World,OWID_WRL,21245784000.0
38,1988,50.449999999999996,World,OWID_WRL,22077385000.0
39,1989,49.333333333333336,World,OWID_WRL,22378970000.0
40,1990,52.51666666666667,World,OWID_WRL,22752700000.0
41,1991,53.34166666666667,World,OWID_WRL,23229475000.0
42,1992,50.55833333333334,World,OWID_WRL,22567199000.0
43,1993,50.56666666666666,World,OWID_WRL,22798350000.0
44,1994,50.449999999999996,World,OWID_WRL,23034776000.0
45,1995,51.60833333333333,World,OWID_WRL,23524491000.0
46,1996,49.25,World,OWID_WRL,24250161000.0
47,1997,49.550000000000004,World,OWID_WRL,24395952000.0
48,1998,53.65833333333333,World,OWID_WRL,24330945000.0
49,1999,51.89166666666667,World,OWID_WRL,24833495000.0
50,2000,50.05833333333334,World,OWID_WRL,25501286000.0
51,2001,51.824999999999996,World,OWID_WRL,25674930000.0
52,2002,52.25,World,OWID_WRL,26248288000.0
53,2003,50.23333333333333,World,OWID_WRL,27648650000.0
54,2004,50.599999999999994,World,OWID_WRL,28620194000.0
55,2005,51.125,World,OWID_WRL,29592103000.0
56,2006,52.199999999999996,World,OWID_WRL,30605767000.0
57,2007,51.041666666666664,World,OWID_WRL,31499735000.0
58,2008,50.18333333333334,World,OWID_WRL,32041902000.0
59,2009,50.69166666666666,World,OWID_WRL,31493265000.0
60,2010,52.75833333333333,World,OWID_WRL,33306330000.0
61,2011,52.166666666666664,World,OWID_WRL,34436470000.0
62,2012,54.225,World,OWID_WRL,34935450000.0
63,2013,50.88333333333333,World,OWID_WRL,35232470000.0
64,2014,49.0,World,OWID_WRL,35466195000.0
65,2015,51.166666666666664,World,OWID_WRL,35463213000.0
66,2016,54.35,World,OWID_WRL,35460026000.0
67,2017,54.475,World,OWID_WRL,36025455000.0
68,2018,52.541666666666664,World,OWID_WRL,36766945000.0
69,2019,53.00833333333333,World,OWID_WRL,37040103000.0
70,2020,53.11666666666667,World,OWID_WRL,35007738000.0
71,2021,53.300000000000004,World,OWID_WRL,36816544000.0
72,2022,52.35833333333333,World,OWID_WRL,37149786000.0
